imdbID,languages
13932304,Italian
9685342,Mandarin
14941222,Korean
12969826,English
10804210,English
9595360,Spanish
12443220,Spanish
9670414,English
11833670,English
14369304,French
9497404,Spanish
13502736,Swedish
14837960,English
14837960,Japanese
13164942,Polish
12091980,Malayalam
15017552,English
14864222,English
10375916,English
10192704,English
10002230,English
13303456,English
10862050,English
11783988,Mandarin
12503602,English
14507448,English
12496582,English
14236064,Japanese
11246434,English
818543,Spanish
818543,English
13648184,Spanish
5806814,English
5806814,French
11348956,English
15209944,English
15209944,Spanish
15209944,French
15348352,English
15387268,Hindi
16316040,Tagalog
16316040,Filipino
9860858,Arabic
4600982,English
6173712,English
15456878,Mandarin
15684426,English
15204288,Portuguese
15010436,English
2717870,English
15119486,English
11907624,English
15245738,English
11967484,German
14973630,English
15442580,Japanese
11027836,English
13989310,Hindi
15174116,English
14913290,English
16343836,English
15739916,English
9735790,English
10537660,French
14516188,English
14516188,Russian
8955940,English
10832720,English
14157114,English
11899882,English
15235708,English
11505680,English
13551614,Malayalam
11905930,German
14924952,English
14418138,English
14134070,English
14723224,Hungarian
16088340,English
13464350,English
9471828,Spanish
9471828,Portuguese
9471828,English
13964404,English
11236228,English
11236228,Arabic
6032692,English
2488666,English
14961110,English
9126944,English
6820128,English
12951846,English
11105376,English
13032716,Swedish
13032716,English
10196620,English
10152736,Tamil
10152736,Telugu
10152736,Hindi
13943040,English
13671922,Malayalam
13671922,Telugu
15010814,Icelandic
10984306,English
14577172,English
8042312,Spanish
8042312,English
15472390,Tamil
14412034,English
11162490,English
11162490,Aboriginal
9075038,English
11378426,English
10287908,English
17640714,Korean
11777510,English
15196292,English
14987308,Spanish
15943414,English
9690790,English
14682578,Tagalog
13846542,Polish
15826210,Telugu
14288012,English
11057572,English
14028890,Ukrainian
14028890,English
14028890,Italian
14028890,Russian
14773990,Persian
14773990,Chinese
14773990,English
14773990,Spanish
14773990,Thai
6384920,English
10405022,English
13074150,Russian
15741196,Korean
10247678,English
15340570,Punjabi
11741044,English
13651858,English
11363540,Spanish
15033924,English
11947216,English
7265490,French
7265490,Arabic
7265490,English
15620158,English
15620158,Chinese
15620158,Mandarin
15721028,English
6344584,English
14775496,Haitian
14775496,English
14775496,French
12064810,English
16282866,Portuguese
6851410,Dutch
13691036,Dutch
13691036,Arabic
8710116,English
15053428,English
11310670,French
12567442,English
8783130,English
16750728,Hindi
12496552,English
11299422,English
15863594,Portuguese
15863594,English
13145186,Ukrainian
13145186,French
13145186,German
13145186,Italian
13145186,English
13321730,French
2241557,English
14200814,English
14200814,Italian
11778144,Arabic
8396480,Russian
11832624,English
13742892,English
13742892,Arabic
13742892,French
10605812,Portuguese
14788018,English
14315566,Polish
8302382,Telugu
15450798,English
13648224,English
10528948,English
14182228,English
1998389,English
1998389,Russian
1998389,Spanish
13012364,English
15758400,English
15758400,Spanish
11725680,Telugu
11295974,Malayalam
13430932,English
16047114,English
15167316,English
15262632,English
12887178,Hindi
11450972,English
11450972,French
11450972,Japanese
14453030,Russian
15173948,French
13893668,English
16162722,English
11778102,Arabic
15800254,English
8946942,English
15739494,English
8631432,English
8551680,English
7383926,Hindi
9009826,English
12810612,English
11384400,Marathi
3548874,Portuguese
3548874,English
11436498,English
12319706,English
15857304,English
7174134,German
7174134,English
7174134,Dutch
7094488,Hindi
13679164,Korean
12738164,Turkish
10483386,Hindi
6484398,English
11246284,English
8657700,Spanish
12077970,French
12077970,Arabic
15847872,English
15943510,English
15767726,Telugu
13779412,French
12494638,Hebrew
12494638,French
12494638,German
12839622,Punjabi
12013758,Italian
13430782,Malayalam
14012034,English
11897340,Arabic
10737358,English
12752246,English
4135418,English
11563364,English
14444182,English
12204492,English
12444454,Arabic
12862516,English
14050808,Romanian
14050808,Romany
14050808,English
13288678,Japanese
12744120,Italian
9786896,English
13882736,Mandarin
13882736,German
13882736,Icelandic
13882736,English
8489384,English
8489384,Spanish
5738280,English
15489206,English
14169248,English
15420960,English
10919362,English
11941700,Bengali
16150878,English
7235666,English
11213372,Turkish
13021830,English
15295912,English
15295912,Mandarin
9562564,English
15715122,Hindi
5886520,English
10951972,French
16420402,Tamil
14807078,English
15576986,English
10196108,French
13492256,French
13212978,English
6736300,English
6736300,Greek
6736300,Thai
10801400,None
10072662,Italian
10072662,French
14915608,Dutch
14489062,English
11217094,English
8356684,English
13606158,Russian
14321910,English
6540724,English
14006530,English
15053588,English
13862974,English
6243370,English
10510280,English
14885506,English
15819904,English
12993456,Indonesian
11253090,Tamil
11253090,Telugu
11253090,Kannada
15708792,English
13606148,English
14390304,English
10062556,Hindi
16282114,English
14482374,English
14482374,Spanish
14776894,Hungarian
14776894,German
15033982,English
4695264,English
4695264,German
4695264,Spanish
4695264,French
12466240,English
14773800,Arabic
2332535,English
10062338,English
11773456,Telugu
14490878,English
9024096,English
9024096,Spanish
12538726,French
16263800,Italian
11285158,English
11454320,English
10756184,French
10756184,Wolof
13322726,Russian
7546886,English
13446126,Thai
15767350,Kannada
7063376,English
15106988,English
13247118,Telugu
14096564,English
14156154,Punjabi
15655480,English
12273762,English
9296590,English
12678146,Spanish
8582056,English
14437428,English
11493006,Arabic
10022782,English
15613514,Arabic
14345386,Polish
13199716,Telugu
8519380,Chinese
14362698,Italian
16277374,Spanish
12831864,English
13887620,English
10098464,English
13871364,English
12529748,English
13884144,Japanese
14850192,English
3982212,English
11455260,German
13602526,English
15195272,English
16365840,English
16365840,Spanish
14176094,Telugu
12362248,English
16277412,English
11363582,English
11363582,Mandarin
14716932,Korean
11390180,Russian
14604446,Korean
12926794,English
15404268,Romanian
14617732,English
15205430,English
11213600,Hindi
6268324,English
14680782,Romanian
14680782,English
14680782,German
13013820,Hindi
13892710,English
13893970,English
13893970,French
13893970,Italian
13893970,Korean
13893970,Spanish
13893970,Japanese
14508380,English
11718902,Malayalam
11460818,Hindi
4109242,English
11268742,English
13675862,Hindi
13269580,French
15979222,English
13845504,English
13710226,Tamil
13364790,Mandarin
8999904,English
10644372,English
15979132,Tagalog
15979132,Filipino
14925556,English
14809392,English
15478268,Kannada
13465140,English
13465140,Dutch
13465140,Spanish
13465140,French
13465140,Italian
13465140,Hungarian
13465140,Norse
13465140,Old
13465140,Polish
13465140,Portuguese
13465140,Romanian
13465140,Finnish
13465140,Swiss German
13465140,Turkish
13465140,Czech
9213934,English
10712788,Chinese
13110420,English
13110420,Latin
13110420,Italian
11465692,English
14034868,English
13646412,English
14513172,English
3996192,English
3996192,Hindi
3996192,Urdu
3996192,French
3996192,Bengali
9449952,English
9449952,Hindi
10342228,English
