imdbID,Gender,All Ages,<18,18-29,30-44,45+
10329614,Females,5.9,,6.1,5.9,5.9
3797512,Females,6.5,8.5,6.7,6.4,6.5
7518786,Females,7.4,,8.3,6.8,7.4
8633464,Females,7.0,10.0,6.6,7.4,7.0
13269536,Females,6.6,9.2,6.7,6.4,6.6
6566576,Females,6.3,6.5,6.3,6.3,6.3
13133936,Females,4.6,,5.4,4.8,4.6
5012504,Females,6.6,8.0,6.6,6.6,6.6
9373688,Females,4.8,10.0,4.7,4.6,4.8
13438734,Females,4.3,6.0,4.2,4.2,4.3
12229370,Females,6.4,,6.0,6.2,6.4
10601552,Females,5.2,10.0,5.0,5.2,5.2
11121664,Females,7.3,4.5,7.5,7.3,7.3
1361336,Females,5.5,5.4,5.6,5.4,5.5
13446168,Females,6.6,,6.5,6.6,6.6
2231874,Females,5.4,,5.5,5.4,5.4
6932874,Females,6.3,5.2,6.4,6.1,6.3
13056008,Females,5.1,3.7,4.7,5.2,5.1
13204490,Females,7.4,9.0,7.7,7.3,7.4
10962368,Females,5.4,3.7,5.5,5.4,5.4
10731768,Females,5.8,3.5,5.7,5.6,5.8
11804152,Females,5.9,6.5,6.1,5.9,5.9
7268738,Females,7.7,10.0,8.1,7.7,7.7
9054192,Females,6.5,7.0,6.4,6.4,6.5
14577300,Females,3.4,,2.6,3.1,3.4
3626476,Females,6.3,4.3,6.2,6.2,6.3
11080108,Females,6.9,7.4,6.8,6.8,6.9
13087796,Females,7.3,1.0,7.2,7.2,7.3
13265876,Females,3.2,,3.2,3.2,3.2
9274670,Females,4.8,,4.5,5.0,4.8
10362566,Females,5.6,,8.3,5.6,5.6
13788842,Females,1.1,1.0,1.0,1.1,1.1
11125620,Females,5.7,6.1,5.9,5.6,5.7
14034966,Females,7.4,,7.8,7.3,7.4
14265992,Females,3.9,,3.3,4.1,3.9
9203694,Females,5.6,3.7,5.6,5.6,5.6
8399288,Females,6.3,1.0,6.3,6.4,6.3
1879016,Females,7.8,,6.0,8.7,7.8
11656220,Females,4.2,4.0,4.2,4.1,4.2
6372694,Females,4.3,,4.1,4.2,4.3
16492678,Females,9.1,9.5,9.3,8.8,9.1
9766332,Females,6.8,8.0,7.5,6.5,6.8
7099280,Females,5.8,,5.5,5.5,5.8
11892272,Females,6.7,,6.6,6.6,6.7
14775784,Females,7.9,,7.7,8.0,7.9
14033502,Females,6.9,7.0,6.9,6.8,6.9
13724054,Females,5.9,,7.0,5.7,5.9
13694628,Females,7.3,,6.9,7.3,7.3
9789042,Females,6.5,,6.5,6.6,6.5
8545482,Females,4.8,,3.8,4.7,4.8
9664948,Females,2.4,,1.0,5.2,2.4
10719958,Females,4.1,1.0,4.4,4.5,4.1
12383460,Females,5.4,5.0,5.5,5.3,5.4
14405338,Females,5.5,,4.5,5.6,5.5
10698174,Females,5.4,1.0,5.5,5.8,5.4
12783454,Females,5.1,3.0,4.9,5.1,5.1
10503736,Females,4.0,,6.3,3.2,4.0
7084386,Females,7.1,,7.2,6.9,7.1
13872248,Females,6.8,,7.6,6.9,6.8
4479380,Females,5.8,3.0,5.4,5.3,5.8
14821150,Females,7.5,,7.4,7.4,7.5
6910282,Females,6.7,,7.0,6.6,6.7
10418662,Females,5.0,2.8,5.1,4.9,5.0
12861850,Females,7.0,6.0,6.9,7.0,7.0
6857376,Females,7.6,2.6,7.6,7.5,7.6
8956324,Females,4.9,6.0,6.9,5.6,4.9
8165192,Females,6.6,,6.8,6.6,6.6
12800524,Females,6.1,1.0,6.0,6.2,6.1
13061914,Females,5.4,3.0,5.4,5.4,5.4
13880104,Females,7.5,3.0,7.9,7.3,7.5
11738830,Females,5.8,,5.4,5.8,5.8
13496236,Females,4.1,,1.0,4.1,4.1
11398346,Females,6.7,,6.9,6.8,6.7
5164438,Females,6.7,6.0,6.4,6.5,6.7
11762434,Females,2.6,1.0,3.0,2.5,2.6
8150814,Females,5.0,4.0,4.9,4.9,5.0
14850172,Females,8.7,,1.0,9.8,8.7
10023286,Females,5.6,6.0,6.5,5.8,5.6
14077696,Females,7.5,,8.1,7.5,7.5
10333426,Females,5.4,5.0,5.5,5.4,5.4
6874762,Females,5.6,,5.5,5.7,5.6
8376234,Females,6.6,7.0,6.8,6.4,6.6
11209212,Females,5.7,,5.8,5.6,5.7
9419056,Females,5.3,5.5,5.2,5.1,5.3
10121392,Females,5.2,1.9,5.1,5.2,5.2
9684220,Females,6.5,7.0,6.5,6.4,6.5
13462900,Females,5.4,,5.6,5.2,5.4
6402468,Females,6.2,4.0,6.2,6.1,6.2
11508438,Females,7.4,,7.9,7.4,7.4
11657662,Females,7.3,10.0,7.4,7.2,7.3
10101702,Females,7.4,6.8,7.2,7.5,7.4
6341832,Females,6.5,5.2,6.5,6.5,6.5
10925852,Females,6.2,,6.3,6.5,6.2
9701940,Females,6.9,7.6,7.0,6.8,6.9
8521876,Females,6.0,4.7,6.2,6.0,6.0
14641648,Females,8.2,,7.9,8.2,8.2
14858054,Females,6.8,,,8.8,6.8
11271800,Females,4.6,2.0,5.4,4.5,4.6
13648228,Females,5.7,10.0,5.8,5.8,5.7
13323118,Females,4.7,,5.1,4.6,4.7
11131464,Females,6.4,,7.0,6.5,6.4
11649338,Females,4.6,,4.8,4.6,4.6
5562070,Females,7.4,8.3,7.5,7.3,7.4
9731682,Females,6.2,4.0,6.4,6.1,6.2
7270808,Females,7.5,1.0,7.7,7.5,7.5
13722764,Females,8.0,3.0,7.9,8.4,8.0
10230994,Females,5.6,6.7,5.7,5.5,5.6
12708658,Females,7.3,4.5,7.1,7.4,7.3
10265034,Females,6.9,,6.9,6.7,6.9
13429362,Females,4.7,,4.7,4.7,4.7
2304637,Females,5.0,10.0,5.1,5.0,5.0
8110246,Females,5.1,,5.6,5.3,5.1
10207710,Females,4.5,,6.2,4.1,4.5
12572040,Females,8.7,,8.5,8.9,8.7
10451914,Females,5.5,4.0,5.4,5.3,5.5
10339052,Females,6.1,,6.2,6.0,6.1
13544716,Females,7.3,1.5,7.6,7.8,7.3
13729220,Females,6.6,9.0,7.1,6.7,6.6
8434110,Females,7.0,,7.8,6.6,7.0
4733624,Females,6.8,5.5,6.9,6.7,6.8
10406596,Females,7.2,,6.8,7.3,7.2
1800393,Females,4.3,,4.5,4.5,4.3
11918288,Females,5.7,,6.2,5.5,5.7
10521144,Females,6.1,,6.0,5.9,6.1
13057626,Females,6.1,,6.4,6.0,6.1
15040634,Females,5.3,,8.0,5.1,5.3
4061620,Females,7.1,,7.5,6.9,7.1
4983780,Females,7.7,,8.1,7.5,7.7
3885422,Females,6.2,,6.5,5.6,6.2
10841088,Females,6.1,,6.2,6.0,6.1
11284502,Females,5.7,,7.1,5.7,5.7
13491110,Females,4.1,,5.1,3.6,4.1
6925902,Females,5.3,,5.7,5.3,5.3
12752256,Females,4.4,,,3.4,4.4
13141936,Females,1.2,,,1.3,1.2
12528166,Females,3.0,,2.4,2.8,3.0
10896634,Females,6.7,,6.8,6.6,6.7
11826450,Females,5.6,,5.6,5.6,5.6
8231668,Females,5.7,2.7,5.7,5.7,5.7
11559472,Females,7.5,,6.6,7.5,7.5
10280296,Females,7.9,5.5,8.8,7.5,7.9
9242528,Females,6.6,,7.0,8.5,6.6
10096842,Females,4.7,,5.0,4.8,4.7
12636872,Females,3.6,1.0,2.9,3.2,3.6
12838766,Females,6.9,5.7,7.1,6.9,6.9
11012066,Females,4.2,4.3,3.8,4.2,4.2
12358104,Females,4.1,,3.5,4.2,4.1
10341040,Females,5.3,,5.7,5.2,5.3
13424422,Females,7.4,,8.6,6.8,7.4
10332588,Females,6.4,4.2,6.4,6.4,6.4
6571548,Females,7.2,3.0,7.2,7.1,7.2
6432466,Females,7.0,5.2,7.1,7.0,7.0
11314148,Females,7.3,9.2,7.6,6.8,7.3
12877640,Females,5.8,3.0,5.7,5.7,5.8
5624466,Females,5.7,,5.8,5.5,5.7
10738536,Females,7.2,,6.0,7.2,7.2
11165716,Females,6.0,10.0,7.0,5.6,6.0
0995854,Females,6.8,,7.1,6.6,6.8
10037014,Females,6.1,,6.4,6.0,6.1
7646322,Females,4.3,,3.8,3.9,4.3
10957044,Females,3.2,,3.8,3.3,3.2
7897330,Females,3.5,1.7,3.4,3.6,3.5
9154818,Females,4.0,,3.0,5.5,4.0
8482584,Females,7.4,10.0,7.3,7.3,7.4
9741180,Females,5.4,,6.2,5.6,5.4
4136456,Females,4.6,,4.4,4.2,4.6
1697800,Females,4.7,,5.4,4.8,4.7
10738906,Females,5.5,,5.1,5.8,5.5
10761694,Females,4.2,,4.4,3.7,4.2
13507778,Females,6.6,,6.8,6.5,6.6
7541720,Females,3.2,3.6,1.8,3.4,3.2
10187208,Females,7.1,7.3,6.9,7.0,7.1
10360104,Females,5.1,,2.7,4.8,5.1
13382698,Females,5.1,,4.2,4.6,5.1
10300570,Females,7.6,,10.0,7.2,7.6
12861508,Females,2.9,,3.3,2.6,2.9
9598214,Females,5.0,,5.2,5.1,5.0
6704894,Females,7.1,,7.8,6.0,7.1
12870980,Females,3.4,,8.0,4.1,3.4
14324650,Females,7.4,8.0,7.5,7.2,7.4
13316722,Females,6.5,8.0,6.4,6.3,6.5
9701942,Females,6.8,7.5,6.9,6.7,6.8
11847606,Females,5.4,,7.0,4.7,5.4
15132736,Females,5.4,,4.9,5.5,5.4
14168118,Females,7.1,,7.3,7.0,7.1
14547524,Females,5.5,,6.1,5.0,5.5
15119668,Females,7.0,4.0,7.0,7.1,7.0
13363828,Females,4.6,,3.9,4.7,4.6
15005868,Females,7.4,8.2,7.8,7.3,7.4
14867006,Females,5.0,,5.4,5.1,5.0
6852526,Females,6.1,,6.3,5.8,6.1
12808182,Females,5.5,,5.4,5.3,5.5
8521718,Females,6.8,6.0,6.5,6.5,6.8
14452368,Females,6.8,,9.0,7.8,6.8
7737640,Females,5.9,8.0,5.8,5.9,5.9
8635092,Females,6.9,5.0,6.7,6.8,6.9
