imdbID,genres
13496236,Thriller
11398346,Adventure
11398346,Comedy
11398346,Drama
5164438,Comedy
5164438,Drama
11762434,Action
11762434,Adventure
11762434,Sci-Fi
8150814,Horror
8150814,Mystery
8150814,Thriller
14850172,Thriller
10023286,Drama
14077696,Drama
10333426,Drama
10333426,Romance
6874762,Horror
6874762,Thriller
8376234,Animation
8376234,Adventure
8376234,Comedy
11209212,Crime
11209212,Drama
11209212,Mystery
9419056,Drama
9419056,Horror
9419056,Mystery
10121392,Action
10121392,Adventure
10121392,Comedy
9684220,Comedy
13462900,Action
13462900,Drama
13462900,History
6402468,Action
6402468,Adventure
6402468,Fantasy
11508438,Drama
11657662,Animation
11657662,Action
11657662,Adventure
10101702,Animation
10101702,Adventure
10101702,Comedy
6341832,Drama
6341832,Fantasy
6341832,Sci-Fi
10925852,Drama
9701940,Drama
9701940,Horror
9701940,Mystery
8521876,Comedy
8521876,Family
14641648,Comedy
14641648,Crime
14641648,Mystery
14858054,Action
11271800,Drama
11271800,Fantasy
11271800,Mystery
13648228,Comedy
13323118,Drama
13323118,Horror
13323118,Mystery
11131464,Drama
11131464,Thriller
11649338,Comedy
11649338,Horror
5562070,Animation
5562070,Adventure
5562070,Comedy
9731682,Drama
9731682,Thriller
7270808,Adventure
7270808,Drama
7270808,Fantasy
13722764,Drama
13722764,Musical
13722764,Romance
10230994,Action
10230994,Crime
10230994,Drama
12708658,Comedy
12708658,Drama
12708658,Romance
10265034,Adventure
10265034,Drama
13429362,Horror
13429362,Sci-Fi
13429362,Thriller
2304637,Crime
2304637,Drama
8110246,Action
8110246,Comedy
8110246,Thriller
12572040,Comedy
12572040,Drama
12572040,Sport
10451914,Action
10451914,Adventure
10451914,Fantasy
10339052,Comedy
10339052,Drama
13544716,Animation
13544716,Action
13544716,Adventure
13729220,Crime
13729220,Drama
13729220,Mystery
8434110,Drama
4733624,Comedy
4733624,Drama
10406596,Drama
10406596,Horror
1800393,Action
1800393,Drama
1800393,Western
11918288,Comedy
10521144,Family
10521144,Fantasy
10521144,Horror
13057626,Animation
13057626,Drama
13057626,Fantasy
15040634,Horror
15040634,Thriller
4061620,Drama
4061620,Romance
4983780,Action
4983780,Adventure
4983780,Sci-Fi
3885422,Animation
3885422,Action
3885422,Adventure
10841088,Animation
10841088,Fantasy
11284502,Action
11284502,Crime
11284502,Drama
13491110,Action
13491110,Crime
13491110,Drama
6925902,Comedy
12752256,Comedy
12752256,Drama
13141936,Horror
13141936,Thriller
12528166,Thriller
10896634,Comedy
10896634,Fantasy
10896634,Romance
11826450,Comedy
8231668,Comedy
8231668,Romance
11559472,Drama
10280296,Biography
10280296,Crime
10280296,Drama
9242528,Biography
9242528,Drama
10096842,Horror
10096842,Mystery
10096842,Thriller
12636872,Crime
12636872,Drama
12636872,Thriller
12838766,Action
12838766,Adventure
12838766,Drama
11012066,Comedy
11012066,Crime
11012066,Family
12358104,Drama
12358104,Mystery
12358104,Thriller
10341040,Animation
10341040,Adventure
10341040,Comedy
